"Label (Grouping)","Kern County, California!!Households!!Estimate","Kern County, California!!Households!!Margin of Error","Kern County, California!!Families!!Estimate","Kern County, California!!Families!!Margin of Error","Kern County, California!!Married-couple families!!Estimate","Kern County, California!!Married-couple families!!Margin of Error","Kern County, California!!Nonfamily households!!Estimate","Kern County, California!!Nonfamily households!!Margin of Error"
"Total","282,963","±3,285","207,342","±5,132","137,887","±5,150","75,621","±4,232"
"    Less than $10,000","6.2%","±0.9","4.7%","±1.0","1.6%","±0.5","12.6%","±2.7"
"    $10,000 to $14,999","4.6%","±0.7","3.1%","±0.8","1.3%","±0.5","9.9%","±2.1"
"    $15,000 to $24,999","9.8%","±1.1","7.6%","±1.2","5.0%","±1.1","18.1%","±3.0"
"    $25,000 to $34,999","9.7%","±1.0","10.2%","±1.4","8.6%","±1.5","9.1%","±2.0"
"    $35,000 to $49,999","14.3%","±1.3","14.7%","±1.6","13.0%","±1.9","12.8%","±2.7"
"    $50,000 to $74,999","15.4%","±1.2","16.4%","±1.5","16.3%","±1.8","13.0%","±2.2"
"    $75,000 to $99,999","11.9%","±1.3","11.8%","±1.5","13.7%","±2.0","9.4%","±2.5"
"    $100,000 to $149,999","15.3%","±1.6","16.6%","±2.0","19.8%","±2.5","10.3%","±1.9"
"    $150,000 to $199,999","6.5%","±1.0","7.6%","±1.2","10.4%","±1.7","2.1%","±1.1"
"    $200,000 or more","6.4%","±0.9","7.3%","±1.2","10.1%","±1.8","2.7%","±1.3"
"Median income (dollars)","58,217","±3,668","64,691","±3,614","82,489","±4,928","35,396","±3,827"
"Mean income (dollars)","80,519","±2,976","87,583","±3,852","105,078","±5,445","52,308","±3,758"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","35.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","37.4%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","29.3%","(X)"
