Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
"06029000102","Census Tract 1.02, Kern County, California","ACSSF","ca","140","00","0003903",,,,,"06","029",,,"000102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000102","Census Tract 1.02",,,,1159,50,96,128,49,89,12,46,118,7,78,126,76,205,40,7,32,4.31,8.28,11.04,4.23,7.68,1.04,3.97,10.18,0.6,6.73,10.87,6.56,17.69,3.45,0.6,2.76
"06029000103","Census Tract 1.03, Kern County, California","ACSSF","ca","140","00","0003904",,,,,"06","029",,,"000103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000103","Census Tract 1.03",,,,1682,16,65,7,142,38,365,0,112,143,53,122,519,68,0,0,32,0.95,3.86,0.42,8.44,2.26,21.7,0,6.66,8.5,3.15,7.25,30.86,4.04,0,0,1.9
"06029000104","Census Tract 1.04, Kern County, California","ACSSF","ca","140","00","0003905",,,,,"06","029",,,"000104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000104","Census Tract 1.04",,,,384,0,106,0,0,0,36,0,0,0,99,86,37,0,20,0,0,0,27.6,0,0,0,9.38,0,0,0,25.78,22.4,9.64,0,5.21,0,0
"06029000105","Census Tract 1.05, Kern County, California","ACSSF","ca","140","00","0003906",,,,,"06","029",,,"000105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000105","Census Tract 1.05",,,,1660,12,26,243,68,33,158,22,61,102,139,153,443,89,16,51,44,0.72,1.57,14.64,4.1,1.99,9.52,1.33,3.67,6.14,8.37,9.22,26.69,5.36,0.96,3.07,2.65
"06029000106","Census Tract 1.06, Kern County, California","ACSSF","ca","140","00","0003907",,,,,"06","029",,,"000106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000106","Census Tract 1.06",,,,809,0,51,39,11,50,0,0,116,0,164,133,113,93,11,28,0,0,6.3,4.82,1.36,6.18,0,0,14.34,0,20.27,16.44,13.97,11.5,1.36,3.46,0
"06029000201","Census Tract 2.01, Kern County, California","ACSSF","ca","140","00","0003908",,,,,"06","029",,,"000201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000201","Census Tract 2.01",,,,1329,213,133,68,117,146,64,32,110,86,104,79,88,89,0,0,0,16.03,10.01,5.12,8.8,10.99,4.82,2.41,8.28,6.47,7.83,5.94,6.62,6.7,0,0,0
"06029000202","Census Tract 2.02, Kern County, California","ACSSF","ca","140","00","0003909",,,,,"06","029",,,"000202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000202","Census Tract 2.02",,,,1231,83,30,313,64,31,121,37,78,89,54,106,74,73,47,10,21,6.74,2.44,25.43,5.2,2.52,9.83,3.01,6.34,7.23,4.39,8.61,6.01,5.93,3.82,0.81,1.71
"06029000300","Census Tract 3, Kern County, California","ACSSF","ca","140","00","0003910",,,,,"06","029",,,"000300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000300","Census Tract 3",,,,1820,122,251,141,129,55,131,47,328,55,75,115,226,23,30,37,55,6.7,13.79,7.75,7.09,3.02,7.2,2.58,18.02,3.02,4.12,6.32,12.42,1.26,1.65,2.03,3.02
"06029000400","Census Tract 4, Kern County, California","ACSSF","ca","140","00","0003911",,,,,"06","029",,,"000400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000400","Census Tract 4",,,,1651,266,334,226,184,78,83,47,76,23,112,101,21,77,10,0,13,16.11,20.23,13.69,11.14,4.72,5.03,2.85,4.6,1.39,6.78,6.12,1.27,4.66,0.61,0,0.79
"06029000504","Census Tract 5.04, Kern County, California","ACSSF","ca","140","00","0003912",,,,,"06","029",,,"000504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000504","Census Tract 5.04",,,,1748,93,153,124,128,7,60,135,102,38,121,112,128,96,83,223,145,5.32,8.75,7.09,7.32,0.4,3.43,7.72,5.84,2.17,6.92,6.41,7.32,5.49,4.75,12.76,8.3
"06029000505","Census Tract 5.05, Kern County, California","ACSSF","ca","140","00","0003913",,,,,"06","029",,,"000505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000505","Census Tract 5.05",,,,1477,80,8,26,42,163,87,88,29,8,36,71,375,76,132,158,98,5.42,0.54,1.76,2.84,11.04,5.89,5.96,1.96,0.54,2.44,4.81,25.39,5.15,8.94,10.7,6.64
"06029000506","Census Tract 5.06, Kern County, California","ACSSF","ca","140","00","0003914",,,,,"06","029",,,"000506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000506","Census Tract 5.06",,,,1369,94,32,11,94,48,20,0,66,66,79,206,144,131,183,35,160,6.87,2.34,0.8,6.87,3.51,1.46,0,4.82,4.82,5.77,15.05,10.52,9.57,13.37,2.56,11.69
"06029000507","Census Tract 5.07, Kern County, California","ACSSF","ca","140","00","0003915",,,,,"06","029",,,"000507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000507","Census Tract 5.07",,,,1303,10,84,0,14,9,0,40,66,103,15,314,158,161,127,143,59,0.77,6.45,0,1.07,0.69,0,3.07,5.07,7.9,1.15,24.1,12.13,12.36,9.75,10.97,4.53
"06029000508","Census Tract 5.08, Kern County, California","ACSSF","ca","140","00","0003916",,,,,"06","029",,,"000508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06029000508","Census Tract 5.08",,,,617,0,0,11,0,17,0,88,29,0,0,58,113,92,142,60,7,0,0,1.78,0,2.76,0,14.26,4.7,0,0,9.4,18.31,14.91,23.01,9.72,1.13
